,delta_t,Length(m),mu,angle(rad),gravity,total_time,period_time,experiment_period_time,Difference
0,0.01,0.38,0.4,0.3490658503988659,9.80665,10.0,1.3185714285714067,1.2994,-0.019171428571406635
0,0.001,0.38,0.4,0.3490658503988659,9.80665,10.0,1.256142857142938,1.2994,0.04325714285706206
0,0.0001,0.38,0.4,0.3490658503988659,9.80665,10.0,1.2541142857132683,1.2994,0.04528571428673178
0,0.1,0.38,0.5,0.3490658503988659,9.80665,10.0,1.5000000000000002,1.2994,-0.2006000000000001
0,0.01,0.38,0.5,0.3490658503988659,9.80665,10.0,1.3628571428571201,1.2994,-0.06345714285712001
0,0.001,0.38,0.5,0.3490658503988659,9.80665,10.0,1.2611428571429353,1.2994,0.03825714285706483
0,0.0001,0.38,0.5,0.3490658503988659,9.80665,10.0,1.2585285714275438,1.2994,0.04087142857245629
0,0.1,0.38,0.6,0.3490658503988659,9.80665,10.0,1.5000000000000002,1.2994,-0.2006000000000001
0,0.01,0.38,0.6,0.3490658503988659,9.80665,10.0,1.3599999999999783,1.2994,-0.06059999999997823
0,0.001,0.38,0.6,0.3490658503988659,9.80665,10.0,1.2678571428572172,1.2994,0.03154285714278293
0,0.0001,0.38,0.6,0.3490658503988659,9.80665,10.0,1.2644428571418158,1.2994,0.0349571428581843
0,0.1,0.38,0.7,0.3490658503988659,9.80665,10.0,1.6000000000000003,1.2994,-0.3006000000000002
0,0.01,0.38,0.7,0.3490658503988659,9.80665,10.0,1.35999999999998,1.2994,-0.06059999999997978
0,0.001,0.38,0.7,0.3490658503988659,9.80665,10.0,1.2767142857143552,1.2994,0.02268571428564492
0,0.0001,0.38,0.7,0.3490658503988659,9.80665,10.0,1.272314285713226,1.2994,0.0270857142867742
0,0.1,0.38,0.8,0.3490658503988659,9.80665,10.0,1.7000000000000004,1.2994,-0.4006000000000003
0,0.01,0.38,0.8,0.3490658503988659,9.80665,10.0,1.3599999999999821,1.2994,-0.060599999999982
